log_id,seat_id,phone_number,usage_id,ticket_type,remaining_time,action,description,created_at
244,8,010-3959-8499,1113,TIME,0,AUTO_CHECKOUT,8번 좌석 이용시간 종료로 자동 퇴실,2026-07-14 07:29:43
245,15,,,,,STATUS_CHANGE,좌석 상태를 이용 가능으로 변경,2026-07-14 09:20:21
246,19,010-5084-2082,1083,PERIOD,,CHECK_OUT,19번 좌석 정상 퇴실,2026-07-14 12:16:49
247,9,010-5745-3431,1092,PERIOD,,CHECK_IN,9번 좌석 사용자 입실,2026-07-14 13:44:48
248,22,010-7567-8821,1072,PERIOD,,CHECK_IN,22번 좌석 사용자 입실,2026-07-14 14:56:21
249,10,,,,,STATUS_CHANGE,좌석 상태를 이용 가능으로 변경,2026-07-14 15:06:47
250,14,010-1221-2066,1055,PERIOD,,CHECK_OUT,14번 좌석 정상 퇴실,2026-07-14 15:17:03
251,6,010-7597-5162,1084,TIME,120,CHECK_IN,6번 좌석 사용자 입실,2026-07-14 15:21:21
252,6,010-7597-5162,1084,TIME,85,CHECK_OUT,6번 좌석 정상 퇴실,2026-07-14 15:56:21
253,21,,,,,STATUS_CHANGE,점검 완료 후 이용 가능 상태로 복구,2026-07-14 16:42:10
254,9,010-5745-3431,1092,PERIOD,,CHECK_OUT,9번 좌석 정상 퇴실,2026-07-14 17:29:48
255,4,010-7140-5442,1065,TIME,240,CHECK_IN,4번 좌석 사용자 입실,2026-07-14 18:45:06
256,4,010-7140-5442,1065,TIME,84,CHECK_OUT,4번 좌석 정상 퇴실,2026-07-14 21:21:06
257,22,010-7567-8821,1072,PERIOD,,FORCE_CHECKOUT,22번 좌석 관리자 강제 퇴실,2026-07-14 22:55:21
258,18,010-5687-9332,1066,PERIOD,,CHECK_IN,18번 좌석 사용자 입실,2026-07-15 03:50:43
259,19,010-2601-3972,1097,TIME,720,CHECK_IN,19번 좌석 사용자 입실,2026-07-15 08:42:02
260,18,010-5687-9332,1066,PERIOD,,AUTO_CHECKOUT,18번 좌석 이용시간 종료로 자동 퇴실,2026-07-15 09:30:43
261,19,010-2601-3972,1097,TIME,627,FORCE_CHECKOUT,19번 좌석 관리자 강제 퇴실,2026-07-15 10:15:02
262,11,010-7567-8821,1110,TIME,240,CHECK_IN,11번 좌석 사용자 입실,2026-07-15 10:23:45
263,11,010-7567-8821,1110,TIME,124,CHECK_OUT,11번 좌석 정상 퇴실,2026-07-15 12:19:45
264,20,010-7893-5693,1104,TIME,720,CHECK_IN,20번 좌석 사용자 입실,2026-07-15 12:57:12
265,10,010-8564-2150,1116,TIME,120,CHECK_IN,10번 좌석 사용자 입실,2026-07-15 13:33:50
266,20,010-7893-5693,1104,TIME,0,AUTO_CHECKOUT,20번 좌석 이용시간 종료로 자동 퇴실,2026-07-15 14:30:12
267,10,010-8564-2150,1116,TIME,58,CHECK_OUT,10번 좌석 정상 퇴실,2026-07-15 14:35:50
268,7,010-7567-8821,1109,PERIOD,,CHECK_IN,7번 좌석 사용자 입실,2026-07-15 15:11:35
269,18,010-1473-3575,1003,TIME,360,CHECK_IN,18번 좌석 사용자 입실,2026-07-15 15:39:34
270,2,,,,,STATUS_CHANGE,좌석 상태를 점검 중으로 변경,2026-07-15 15:59:53
271,9,,,,,STATUS_CHANGE,좌석 상태를 이용 가능으로 변경,2026-07-15 16:03:22
272,18,010-1473-3575,1003,TIME,281,CHECK_OUT,18번 좌석 정상 퇴실,2026-07-15 16:58:34
273,19,010-7597-5162,1100,TIME,540,CHECK_IN,19번 좌석 사용자 입실,2026-07-15 17:08:00
274,7,010-5409-3075,1006,PERIOD,,CHECK_IN,7번 좌석 사용자 입실,2026-07-15 19:47:49
275,15,010-1133-4717,1041,PERIOD,,CHECK_IN,15번 좌석 사용자 입실,2026-07-15 20:39:35
276,15,010-1133-4717,1041,PERIOD,,CHECK_OUT,15번 좌석 정상 퇴실,2026-07-15 21:12:35
277,1,010-8885-2045,1014,TIME,240,CHECK_IN,1번 좌석 사용자 입실,2026-07-15 23:39:04
278,7,010-7567-8821,1109,PERIOD,,CHECK_OUT,7번 좌석 정상 퇴실,2026-07-16 00:24:35
279,7,010-5409-3075,1006,PERIOD,,CHECK_OUT,7번 좌석 정상 퇴실,2026-07-16 00:24:49
280,19,010-7597-5162,1100,TIME,10,CHECK_OUT,19번 좌석 정상 퇴실,2026-07-16 01:58:00
281,1,010-8885-2045,1014,TIME,27,CHECK_OUT,1번 좌석 정상 퇴실,2026-07-16 03:12:04
282,23,010-6039-7227,1034,PERIOD,,CHECK_IN,23번 좌석 사용자 입실,2026-07-16 04:02:19
283,21,010-9304-7483,1019,TIME,540,CHECK_IN,21번 좌석 사용자 입실,2026-07-16 05:14:44
284,13,010-5745-3431,1076,TIME,120,CHECK_IN,13번 좌석 사용자 입실,2026-07-16 05:59:52
285,13,010-5745-3431,1076,TIME,25,CHECK_OUT,13번 좌석 정상 퇴실,2026-07-16 07:34:52
286,20,010-1016-9346,1096,TIME,360,CHECK_IN,20번 좌석 사용자 입실,2026-07-16 08:14:40
287,23,010-6039-7227,1034,PERIOD,,CHECK_OUT,23번 좌석 정상 퇴실,2026-07-16 08:33:19
288,18,010-2601-3972,1050,TIME,120,CHECK_IN,18번 좌석 사용자 입실,2026-07-16 08:51:08
289,21,010-5187-4999,1107,PERIOD,,CHECK_IN,21번 좌석 사용자 입실,2026-07-16 08:58:33
290,21,010-9304-7483,1019,TIME,291,CHECK_OUT,21번 좌석 정상 퇴실,2026-07-16 09:23:44
291,17,010-2601-3972,1090,PERIOD,,CHECK_IN,17번 좌석 사용자 입실,2026-07-16 09:25:36
292,18,010-2601-3972,1050,TIME,78,CHECK_OUT,18번 좌석 정상 퇴실,2026-07-16 09:33:08
293,22,010-5553-3720,1039,TIME,720,CHECK_IN,22번 좌석 사용자 입실,2026-07-16 09:41:29
294,17,010-2601-3972,1090,PERIOD,,CHECK_OUT,17번 좌석 정상 퇴실,2026-07-16 11:30:36
295,20,010-1016-9346,1096,TIME,0,AUTO_CHECKOUT,20번 좌석 이용시간 종료로 자동 퇴실,2026-07-16 12:40:40
296,22,,,,,STATUS_CHANGE,좌석 상태를 이용 가능으로 변경,2026-07-16 12:58:15
297,21,010-5187-4999,1107,PERIOD,,CHECK_OUT,21번 좌석 정상 퇴실,2026-07-16 13:57:33
298,13,,,,,STATUS_CHANGE,좌석 상태를 점검 중으로 변경,2026-07-16 16:22:58
299,22,010-5553-3720,1039,TIME,300,CHECK_OUT,22번 좌석 정상 퇴실,2026-07-16 16:41:29
300,3,,,,,STATUS_CHANGE,좌석 이상 확인으로 점검 상태 전환,2026-07-16 20:07:48
